Seasonal Variation (Data Source),Simulation Run Number,T-R Separation Distance (m),Time Delay (ns),Received Power (dBm), Phase (rad),Azimuth AoD (degree),Elevation AoD (degree),Azimuth AoA (degree),Elevation AoA (degree),Path Loss (dB),RMS Delay Spread (ns),Season,Frequency
FallL,2,417.2,1728,-145.1,3.3,58,-2.8,340.6,5,174.8,69.5,0,24.25
FallL,3,281.5,938,-115.8,0.1,225,-3,201.3,9,145.7,9.5,0,24.25
FallL,3,281.5,942,-120.2,3.7,245,-3.6,205.1,14,149.8,36.2,0,24.25
FallL,3,281.5,947,-133.3,0.6,236,-9.5,200,15,158,76.7,0,24.25
FallL,3,281.5,954,-130.5,4.2,230,-6.5,32.5,14,159.9,29.6,0,24.25
FallL,3,281.5,962,-132.7,3.6,246,-8.2,202.5,21,157.7,26.2,0,24.25
FallL,3,281.5,970,-133.8,5.8,244,-6.4,30.7,3,161.2,89.1,0,24.25
FallL,3,281.5,979,-133.2,1.7,220,0.6,12.4,6,162.6,37.9,0,24.25
FallL,3,281.5,989,-134.4,5.1,228,-3.7,26.2,8,158.7,48.2,0,24.25
FallL,3,281.5,999,-140.9,0.8,241,-2.7,201.9,14,152.7,46,0,24.25
FallL,3,281.5,1010,-137.3,0.7,252,-5.5,204,17,156.6,35.7,0,24.25
FallL,3,281.5,1058,-116.5,5,239,-9.4,206.5,6,146.4,11.7,0,24.25
FallL,3,281.5,1061,-122.3,1.9,233,-9.7,20.7,12,152.2,9.8,0,24.25
FallL,3,281.5,1066,-128.1,0.5,245,-8.2,210.2,13,152.6,61.4,0,24.25
FallL,3,281.5,1072,-128,6.1,248,-5.3,215.5,13,156.2,43.7,0,24.25
FallL,3,281.5,1078,-138.2,1.5,232,-8.2,204.8,9,151.2,55.6,0,24.25
FallL,3,281.5,1084,-126.7,1.1,229,-2.6,19.7,7,155.6,25,0,24.25
FallL,3,281.5,1092,-128.9,5.3,233,-5.5,7.8,7,158.7,11.8,0,24.25
FallL,3,281.5,1140,-138.8,1.5,234,-2.3,207.1,14,157.6,75.7,0,24.25
FallL,3,281.5,1143,-131.4,0.6,234,-5,198.7,11,155.1,87.5,0,24.25
FallL,3,281.5,1146,-129.9,6.2,249,-7.9,28.2,0,159.3,55.9,0,24.25
FallL,3,281.5,1148,-144.4,2.9,227,1.4,213.2,14,166.8,99.3,0,24.25
FallL,3,281.5,1151,-139.7,3.5,229,-6.5,214.6,15,167.3,86.2,0,24.25
FallL,3,281.5,1154,-142.9,2.2,247,-8.7,217.8,28,172,60.4,0,24.25
FallL,3,281.5,1157,-141.6,0.3,233,0,199,2,160.1,74,0,24.25
FallL,3,281.5,1159,-141.4,0.1,236,-5.5,21.4,7,158.1,34.2,0,24.25
FallL,3,281.5,1162,-139.7,5.8,241,-3.5,18.7,6,164.5,66.3,0,24.25
FallL,3,281.5,1165,-144.6,2.8,249,-0.6,17.6,12,172.7,69.6,0,24.25
FallL,3,281.5,1168,-141.4,4.4,235,-8.4,202.7,6,149.8,33.9,0,24.25
FallL,3,281.5,1170,-146.6,5.9,250,-5.1,24.3,3,162.5,56.7,0,24.25
FallL,3,281.5,1173,-146.9,0.1,228,-12.4,29.2,3,170.9,74.8,0,24.25
FallL,3,281.5,1176,-154.3,1.6,249,-6.7,26.1,9,167.9,82.1,0,24.25
FallL,3,281.5,1179,-143.4,3,246,1.1,205.2,14,153,30.9,0,24.25
FallL,3,281.5,1182,-147.7,3.6,241,-5.3,215.7,12,158.7,47.9,0,24.25
FallL,3,281.5,1185,-152.2,4.8,221,-1,213,-5,176.4,108.5,0,24.25
FallL,3,281.5,1187,-149.4,1.6,247,-2.5,32.4,11,172.1,107.8,0,24.25
FallL,3,281.5,1190,-158.3,2.5,231,-7.4,31.7,20,164.7,36.5,0,24.25
FallL,3,281.5,1193,-149.2,0.5,246,-5.2,205.9,15,150.4,39.9,0,24.25
FallL,3,281.5,1256,-141,1.3,242,-7.3,15.2,3,167.3,89.1,0,24.25
FallL,3,281.5,1259,-145.8,5.6,242,-5.5,42.3,6,172.6,131.4,0,24.25
FallL,3,281.5,1264,-150.4,4.1,223,-3.8,210,14,157.2,36.9,0,24.25
FallL,3,281.5,1270,-148.9,4,242,-4.8,29.6,7,165.2,89.1,0,24.25
FallL,3,281.5,1276,-159.2,0.1,244,-4.7,19.8,4,166.9,84.4,0,24.25
FallL,3,281.5,1283,-159.6,1.2,235,-0.7,208.7,14,160.4,79,0,24.25
FallL,3,281.5,1290,-158.3,0.2,218,-3.7,198.1,20,166.9,33.1,0,24.25
FallL,3,281.5,1298,-152.7,5,237,-7.1,196.6,28,173.7,104.5,0,24.25
FallL,3,281.5,1306,-152.8,1.9,233,-4,200.4,14,155,79.2,0,24.25
FallL,3,281.5,1314,-153.3,3.1,232,-6.3,19.7,6,155.5,23.7,0,24.25
FallL,3,281.5,1323,-159.5,3.1,226,-7.3,205.2,31,176.8,97,0,24.25
FallH,1,476,1587,-143.2,1.3,151,1.7,63,4,173.1,12.9,0,24.25
FallH,1,476,1589,-148.1,2.2,139,-5.1,61.6,6,175.4,19.7,0,24.25
FallH,1,476,1592,-156.2,2.7,135,-5.4,85.2,-11,185.6,38.8,0,24.25
FallH,1,476,1594,-148.3,3.8,106,1.1,80.5,1,178.3,1.4,0,24.25
FallH,1,476,1599,-156.4,6.1,141,-6.3,68.9,16,185.8,13.3,0,24.25
FallH,1,476,1602,-147.9,2,140,-1.5,63.3,-13,177.8,2.3,0,24.25
FallH,1,476,1604,-153.7,3.6,143,-4.4,66.8,1,179.5,35.3,0,24.25
FallH,1,476,1609,-158.3,4,137,-4.2,68.9,4,180.8,21.5,0,24.25
FallH,1,476,1612,-156.5,3.8,121,-2.8,70.9,3,186.4,17.7,0,24.25
FallH,1,476,1614,-155.4,2.1,151,-6.5,71.3,-4,183.6,34,0,24.25
FallH,1,476,1617,-157.5,0.2,143,-2.1,61.7,-2,181.2,23,0,24.25
FallH,1,476,1619,-153.3,4.6,171,-3.3,72,3,183.2,21.4,0,24.25
FallH,1,476,1622,-158.5,2.3,152,-5.3,68.8,2,180.5,47.8,0,24.25
FallH,1,476,1625,-156.6,2.7,132,2.6,70.9,-19,186.3,7.8,0,24.25
FallH,1,476,1627,-145.9,0.8,140,-1.7,59.2,8,174.7,16.5,0,24.25
FallH,1,476,1630,-154.5,5.8,139,-1.1,71.3,3,181.8,21.9,0,24.25
FallH,1,476,1706,-157.4,2.7,147,-6.9,68.3,2,180.9,48.4,0,24.25
FallH,1,476,1709,-155.5,4.7,133,-3.2,82.4,-4,185,35.4,0,24.25
FallH,1,476,1722,-158.3,1.4,153,-0.8,70.7,2,180.2,51.5,0,24.25
FallH,2,415.6,1385,-153,5.2,295,-4.4,214.8,-6,182,45,0,24.25
FallH,2,415.6,1388,-139.8,0.9,273,-13.5,225.8,-3,169.8,3.2,0,24.25
FallH,2,415.6,1391,-154.5,5.7,310,-8.1,217.3,10,184.2,19.3,0,24.25
FallH,2,415.6,1394,-156.1,2.5,303,-14.3,231.3,-7,185.5,32.1,0,24.25
FallH,2,415.6,1401,-159.2,1.9,307,-5,233.7,0,185.3,38.9,0,24.25
FallH,2,415.6,1404,-147.2,5.8,306,-5.2,213.7,-16,176.8,18.4,0,24.25
FallH,2,415.6,1408,-159.9,0.6,308,-6,217.4,1,183.6,26.6,0,24.25
FallH,2,415.6,1411,-152.1,4.7,311,-9,237.9,-2,181.8,17.2,0,24.25
FallH,2,415.6,1454,-153.6,1.8,310,-7.1,219.4,-4,181.8,18.1,0,24.25
FallH,2,415.6,1457,-159,1.7,295,-7.3,222.5,-2,182.6,48.6,0,24.25
FallH,2,415.6,1460,-154,6.2,305,-7,215.7,-5,181.3,24.4,0,24.25
FallH,2,415.6,1463,-159.7,2,292,-1.6,222.8,-2,184.5,49.5,0,24.25
FallH,2,415.6,1465,-156.5,1.6,290,-8.7,226,-3,183.5,28.7,0,24.25
FallH,2,415.6,1468,-158.7,2.8,293,-8.4,230.4,-2,184.2,23.4,0,24.25
FallH,2,415.6,1471,-153.6,5.6,303,-8.2,211.6,-12,179.2,32.9,0,24.25
FallH,2,415.6,1474,-159.6,0.5,292,-2.9,232.4,1,186.6,16.1,0,24.25
FallH,2,415.6,1492,-158.1,3.2,298,-9,225.3,3,185.6,26.9,0,24.25
FallH,2,415.6,1504,-159.4,6.2,296,-5.5,223.6,-5,182.9,56.8,0,24.25
FallH,2,415.6,1575,-159.5,0.5,294,-4.2,222.3,-8,183.7,73.1,0,24.25
FallH,3,50,167,-126.1,4.9,94,0.7,252.4,6,155.9,16.1,0,24.25
FallH,3,50,170,-111.5,2.6,305,-2.4,235.9,5,141.5,2.7,0,24.25
FallH,3,50,177,-116.2,0.7,183,2.2,242.6,6,146.2,8.7,0,24.25
FallH,3,50,184,-120.3,5,83,-2.2,255,15,150.3,1.3,0,24.25
FallH,3,50,193,-126.7,2.2,96,-0.7,239.4,12,156.7,3.8,0,24.25
FallH,3,50,204,-122.7,4.4,56,-17.9,245.5,6,152.5,21.1,0,24.25
FallH,3,50,215,-118.6,4.1,298,-4.7,246.4,4,148.3,11.1,0,24.25
FallH,3,50,226,-129.5,0,187,1.6,230.1,-1,159.2,18.4,0,24.25
FallH,3,50,239,-138.2,1.6,56,-9.3,238,8,162.1,66.4,0,24.25
FallH,3,50,252,-139.8,1.5,292,-1,254.8,3,162.7,56.3,0,24.25
FallH,3,50,266,-148.2,5.2,310,-2.6,258.3,10,171.7,43.4,0,24.25
FallH,3,50,281,-140,3.2,90,-1.8,252.4,2,160,45.7,0,24.25
FallH,3,50,296,-149.9,2.4,275,-10.1,230.3,-5,178.4,57.6,0,24.25
FallH,3,50,338,-120.9,4.1,59,-10.8,254.1,2,150.8,13.5,0,24.25
FallH,3,50,342,-118,1,64,-8,240.3,-1,148,7.4,0,24.25
FallH,3,50,347,-126.4,3.6,191,-1.3,249.2,-7,156.2,11.8,0,24.25
FallH,3,50,353,-125.4,3.6,292,3.5,240.1,-3,155.3,24.6,0,24.25
FallH,3,50,361,-136,2.8,280,-7.9,244.9,-1,165.2,64.6,0,24.25
FallH,3,50,369,-136.6,1.7,176,0.9,245.4,2,154.3,47.4,0,24.25
FallH,3,50,377,-135.2,4.3,186,-2.9,245.7,-4,158.5,90.6,0,24.25
FallH,3,50,386,-147.6,6.1,189,-1.7,233.6,2,160.3,37.8,0,24.25
FallH,3,50,531,-134.5,5.7,285,0.9,246.1,4,163,118.2,0,24.25
FallH,3,50,534,-142.9,4.2,308,-1,233.6,17,160.5,85.3,0,24.25
FallH,3,50,539,-142.1,3.7,173,0.6,241.7,17,169.9,177.2,0,24.25
FallH,3,50,545,-144.4,2.6,117,-5.5,234.9,13,173.1,164.2,0,24.25
FallH,3,50,552,-142.3,3.4,273,-7.5,242,4,168.1,163.6,0,24.25
FallH,3,50,559,-151,2.4,180,-5.3,243.8,3,154.9,36.2,0,24.25
FallH,3,50,567,-147,0.7,296,-7.2,262.7,2,174.2,173.4,0,24.25
FallH,3,50,575,-149.7,6.1,284,-5.5,242.6,0,165.7,111.5,0,24.25
FallH,3,50,584,-142.7,4.8,82,-2.1,247.2,0,169.8,183.9,0,24.25
FallH,3,50,602,-149.4,5.8,293,3.9,256.6,-1,171.9,142.2,0,24.25
FallM,1,481.6,1605,-133.1,5.9,128,-15.2,150,-9,163.1,2.1,0,24.25
FallM,1,481.6,1608,-158.7,5.2,125,-16.6,52.3,-6,187.6,15.1,0,24.25
FallM,1,481.6,1615,-147.6,3.5,340,-10.9,146.6,-13,177.6,1.2,0,24.25
FallM,1,481.6,1618,-157.8,3.9,330,-5.9,55.2,0,187.8,2.1,0,24.25
FallM,1,481.6,1622,-157.3,6,325,-15.7,187.9,-2,187.3,0.8,0,24.25
FallM,1,481.6,1625,-156.3,6,350,-8.9,284.2,17,186.3,9.8,0,24.25
FallM,1,481.6,1629,-159.4,1.3,137,-10.6,74.2,-2,189.3,7.4,0,24.25
FallM,1,481.6,1669,-157.3,3.5,333,-7.1,202.6,-11,187.3,2.9,0,24.25
FallM,1,481.6,1774,-148.6,4.3,129,-12,287,15,178.5,26.7,0,24.25
FallM,1,481.6,1783,-154.1,2.1,124,-13.7,207,5,183.8,43.2,0,24.25
FallM,1,481.6,1790,-155.2,2.4,120,-15.7,145.3,-1,179.3,81.2,0,24.25
FallM,2,367.6,1225,-118.9,5.2,330,-10.4,335.9,3,148.9,2.5,0,24.25
FallM,2,367.6,1228,-122.2,1.5,335,-10.2,202.6,1,152.1,1.5,0,24.25
FallM,2,367.6,1259,-132.7,0.9,29,-11.5,200.5,6,162.7,2.2,0,24.25
FallM,2,367.6,1263,-127.7,5,327,-8.1,208.6,10,157.6,5.9,0,24.25
FallM,2,367.6,1269,-125.6,5.7,342,-9.5,11.6,3,155.6,1.1,0,24.25
FallM,2,367.6,1276,-138.2,4.2,311,-4,18.2,-6,168.2,3.1,0,24.25
FallM,2,367.6,1284,-128.9,2.2,321,-10.7,1.9,9,158.9,2,0,24.25
FallM,2,367.6,1293,-141.4,5.5,48,-13,351,-1,171.4,2.5,0,24.25
FallM,2,367.6,1303,-137.4,3.6,309,-15.2,329.9,10,167.4,7.2,0,24.25
FallM,2,367.6,1313,-138.5,1.4,44,-8.1,9.6,-3,168.3,21.2,0,24.25
FallM,2,367.6,1324,-150.6,1.6,326,-9.7,228.6,7,177,46.7,0,24.25
FallM,2,367.6,1336,-149.1,0.2,324,-8.2,330.6,-3,162,16.4,0,24.25
FallM,2,367.6,1436,-139.8,2.3,40,-15.4,15.8,-1,169.5,31.9,0,24.25
FallM,2,367.6,1594,-155.6,4.1,328,-12.1,328.9,5,156.2,12.7,0,24.25
FallM,2,367.6,1602,-151.9,0.5,37,-14.7,222.6,12,181.8,50.5,0,24.25
FallM,3,172.7,576,-117.4,5.3,227,0.2,299.9,-5,147,16.8,0,24.25
FallM,3,172.7,578,-128.4,4.2,236,-0.1,306.8,-1,157.3,23.2,0,24.25
FallM,3,172.7,581,-130.3,0.1,256,-0.6,298.2,6,160.2,9.3,0,24.25
FallM,3,172.7,583,-138.2,3,237,0.9,290.3,7,157.6,12.9,0,24.25
FallM,3,172.7,586,-141.4,0.7,252,-7.3,293.4,11,169,8.6,0,24.25
FallM,3,172.7,588,-126.9,1.1,224,-1.7,298.8,0,150.1,28.4,0,24.25
FallM,3,172.7,591,-132.8,1,252,2.1,293.7,-2,162.4,7.5,0,24.25
FallM,3,172.7,594,-140.2,2.2,262,-4.1,285.3,-3,170.1,6.8,0,24.25
FallM,3,172.7,596,-124.4,2.8,236,0.5,295.4,5,154.1,16.2,0,24.25
FallM,3,172.7,599,-129.6,5.3,221,-4.3,297.6,1,153.7,32.7,0,24.25
FallM,3,172.7,602,-141.8,5.7,234,-0.6,295.9,22,171.1,15.5,0,24.25
FallM,3,172.7,632,-142.6,4.8,223,-3.4,281.5,2,169.8,61.2,0,24.25
FallM,3,172.7,634,-151.8,0.1,220,2.7,293.9,-7,157.8,22.9,0,24.25
FallM,3,172.7,637,-145.5,5.8,231,-3,301.8,-4,151,26.5,0,24.25
FallM,3,172.7,641,-142.7,3.6,227,-4.1,291.7,9,164.7,50.7,0,24.25
FallM,3,172.7,644,-126.7,5.6,227,-2.8,297.8,-1,149.3,30.1,0,24.25
FallM,3,172.7,647,-139.9,5.6,231,0.5,286,1,165.8,34.2,0,24.25
FallM,3,172.7,651,-146.8,4.8,228,-2.2,307.8,-1,156.7,29.5,0,24.25
FallM,3,172.7,654,-143,1.1,236,-1.1,291.8,5,155.8,15,0,24.25
FallM,3,172.7,658,-145.5,2.9,225,4.9,294,2,159.1,35.7,0,24.25
FallM,3,172.7,662,-152.9,3.9,239,-1.4,293.4,4,156.2,13.3,0,24.25
FallM,3,172.7,665,-157.6,3,231,0.7,302.7,3,155.7,41.2,0,24.25
FallM,3,172.7,673,-151.4,4.3,244,-1.4,307.6,-2,166.8,34.8,0,24.25
FallM,3,172.7,677,-155.1,0.2,242,-3.3,296.9,17,176.1,31.6,0,24.25
FallM,3,172.7,680,-146.6,0.6,242,-0.9,307.5,2,163.5,26.3,0,24.25
FallM,3,172.7,708,-157.3,1.1,241,0,290.6,5,159.2,13,0,24.25
FallM,3,172.7,742,-135.7,2.7,213,-2.6,290.8,0,164,57.8,0,24.25
FallM,3,172.7,745,-136.5,1.4,248,3.3,283.3,-13,166.5,8.4,0,24.25
FallM,3,172.7,750,-141.8,4.3,233,-3.9,298.9,3,155.6,42.7,0,24.25
FallM,3,172.7,755,-138.4,1.9,230,-1.5,301.1,1,151.5,35.8,0,24.25
FallM,3,172.7,760,-134.7,2.8,217,-3.3,287.6,6,163.6,44.6,0,24.25
FallM,3,172.7,766,-146.9,0.9,224,2.3,293.6,0,154.6,31,0,24.25
FallM,3,172.7,772,-142.7,5.1,255,-2.2,306.1,-1,170.2,94.1,0,24.25
FallM,3,172.7,778,-136.6,5.9,221,-4.8,298.6,9,161.7,85.2,0,24.25
FallM,3,172.7,785,-149.8,0.1,224,0.8,298.1,-9,150.5,13.4,0,24.25
FallM,3,172.7,791,-152,2.8,229,-7.8,293.8,-8,160,30.2,0,24.25
FallM,3,172.7,798,-155,3.5,234,2,282.4,3,170.2,43.7,0,24.25
FallM,3,172.7,805,-157,2,208,-3.6,309.9,-2,183.3,109.8,0,24.25
FallM,3,172.7,813,-155.1,5.5,204,-2.3,310.4,7,184.5,65.9,0,24.25
FallM,3,172.7,820,-155.6,0.9,220,-3,299.3,2,154.1,33.1,0,24.25
FallM,3,172.7,835,-157.1,3.7,232,-3,297.1,13,165.4,34.5,0,24.25
FallM,3,172.7,975,-158.9,5.3,227,-0.3,309.6,-5,158.4,20.1,0,24.25
FallM,3,172.7,978,-158,3.3,220,-0.1,293.6,2,158.1,50.7,0,24.25
SpringL,1,392.5,1308,-118.6,0.1,214,-7.1,155.5,-1,148.6,0.7,1,24.25
SpringL,1,392.5,1311,-134,5.6,199,-6.5,289.3,-1,164,10.8,1,24.25
SpringL,1,392.5,1315,-138,0.7,85,-16.3,175.4,17,167.8,16.1,1,24.25
SpringL,1,392.5,1318,-126.7,2.8,82,-6.9,281.9,2,156.7,3.3,1,24.25
SpringL,1,392.5,1322,-129.9,1,290,-8.6,170.1,2,159.5,33.3,1,24.25
SpringL,1,392.5,1326,-131.4,5.3,77,-13.5,168.5,9,161.4,18.8,1,24.25
SpringL,1,392.5,1331,-136.6,3.8,292,-1,171.5,4,164.3,14.2,1,24.25
SpringL,1,392.5,1335,-140.1,2.1,294,-9.2,290.3,-6,170,6.3,1,24.25
SpringL,1,392.5,1339,-149.8,1.8,60,-19,162.6,4,178.9,20.6,1,24.25
SpringL,1,392.5,1344,-140,3.2,283,-14.6,280.3,0,169.8,11.9,1,24.25
SpringL,1,392.5,1348,-149.6,3,84,-9.7,170.1,5,168.8,82.9,1,24.25
SpringL,1,392.5,1353,-137.7,5.4,298,-7.1,165.4,5,165.3,47.9,1,24.25
SpringL,1,392.5,1357,-144.5,1.9,89,-9.2,181.8,9,171.5,97.9,1,24.25
SpringL,1,392.5,1362,-142.5,6.2,292,-10.1,276.7,-3,172.1,9.7,1,24.25
SpringL,1,392.5,1367,-145.8,3.3,102,-13.8,180.7,7,175.7,13.8,1,24.25
SpringL,1,392.5,1372,-148.4,3.1,92,-15,172.3,10,175.5,59.4,1,24.25
SpringL,1,392.5,1377,-150.2,4.6,80,-13.4,293.1,6,176.4,41.9,1,24.25
SpringL,1,392.5,1381,-154.8,1.2,220,-2.4,166.1,15,181.8,54.7,1,24.25
SpringL,1,392.5,1386,-155.2,5.6,225,-3.1,289,5,166.4,25.6,1,24.25
SpringL,1,392.5,1396,-151.7,0.8,221,-1.4,174.3,7,180.1,53.4,1,24.25
SpringL,1,392.5,1401,-154,4.2,214,-4.8,273,1,177.9,45.1,1,24.25
SpringL,1,392.5,1407,-159.7,5.1,288,-3.4,275.8,4,182.8,31,1,24.25
SpringL,1,392.5,1412,-158.9,3.6,291,-6.8,288.5,9,184.9,68.9,1,24.25
SpringL,1,392.5,1427,-150.6,5.5,216,-7.8,163.3,36,176.6,59.5,1,24.25
SpringL,1,392.5,1458,-144.6,4.7,310,-9.4,286,-4,174.5,19.5,1,24.25
SpringL,1,392.5,1460,-145.4,1.6,222,-8.3,285.2,3,170.4,56.2,1,24.25
SpringL,1,392.5,1463,-147.9,1,89,-15.5,164.6,6,175.6,67.2,1,24.25
SpringL,1,392.5,1467,-136.5,3.4,295,-13,168.5,3,162.8,70.5,1,24.25
SpringL,1,392.5,1470,-146,5.2,80,-12.3,174.5,9,165.8,65.4,1,24.25
SpringL,1,392.5,1473,-145.8,1.4,78,-16.4,269.8,4,175.4,40.4,1,24.25
SpringL,1,392.5,1480,-154.6,1.4,203,0.1,276.2,5,182.7,75.4,1,24.25
SpringL,1,392.5,1483,-140.8,6.2,230,-6.2,167.4,0,170.7,20.5,1,24.25
SpringL,1,392.5,1487,-158.1,0.3,301,-8.3,163.1,4,168.7,43.1,1,24.25
SpringL,1,392.5,1490,-159.9,6.1,74,-11.7,279.6,-4,172.5,25.1,1,24.25
SpringL,1,392.5,1494,-153.4,2.5,300,-7.4,176.2,10,177.8,76.5,1,24.25
SpringL,1,392.5,1498,-151.9,2.6,291,-12.8,178.7,3,170.4,58.6,1,24.25
SpringL,1,392.5,1501,-157.2,4.6,278,-11.7,277.5,-3,175.4,39.4,1,24.25
SpringL,1,392.5,1539,-134.4,3.9,222,-3.8,291.3,6,164.3,20.9,1,24.25
SpringL,1,392.5,1543,-158.2,5.6,197,-6.9,292.8,-18,187.2,91,1,24.25
SpringL,1,392.5,1547,-153.7,1.5,199,-2.6,277.8,12,182.8,61.8,1,24.25
SpringL,1,392.5,1551,-135.9,2.1,85,-10.2,179.3,2,165.7,34.8,1,24.25
SpringL,1,392.5,1557,-142.8,3.7,200,-5.9,167.2,7,172.7,43.3,1,24.25
SpringL,1,392.5,1562,-153,0.5,98,-11.8,165.9,9,180.7,92.9,1,24.25
